 ,saturation,brightness,fixation,room,background,clearest,second clear,most comfortable,second comfortable,least clear,least comfortable,device,,
45,100,50,saturation,outdoor,control,,,,,,,Xreal,,
45,100,60,saturation,outdoor,control,,,,2,,,Xreal,,
45,100,70,saturation,outdoor,control,,12,,14,,,Xreal,,
5,100,80,saturation,outdoor,control,12,7,12,7,,,Xreal,,
45,100,90,saturation,outdoor,control,7,12,18,5,,,Xreal,,
45,100,100,saturation,outdoor,control,12,,,2,,7,Xreal,,
45,20,100,brightness,outdoor,nature,,,,,,9,Xreal,,
45,30,100,brightness,outdoor,nature,,,,,2,,Xreal,,
45,40,100,brightness,outdoor,nature,,,,,4,,Xreal,,
45,50,100,brightness,outdoor,nature,,,,,,,Xreal,,
45,60,100,brightness,outdoor,nature,,,7,,,,Xreal,,
45,70,100,brightness,outdoor,nature,12,5,12,25,,,Xreal,,
45,80,100,brightness,outdoor,nature,9,7,9,5,,,Xreal,,
45,90,100,brightness,outdoor,nature,9,7,2,,,,Xreal,,
45,100,100,brightness,outdoor,nature,,12,,,24,21,Xreal,,
45,100,20,saturation,outdoor,nature,,,,,14,18,Xreal,,
45,100,30,saturation,outdoor,nature,,,,,12,,Xreal,,
45,100,40,saturation,outdoor,nature,,,,,4,,Xreal,,
45,100,50,saturation,outdoor,nature,,,,,,,Xreal,,
45,100,60,saturation,outdoor,nature,,,8,,,,Xreal,,
45,100,70,saturation,outdoor,nature,,5,12,16,,,Xreal,,
45,100,80,saturation,outdoor,nature,13,12,4,12,,,Xreal,,
45,100,90,saturation,outdoor,nature,6,14,6,2,,,Xreal,,
45,100,100,saturation,outdoor,nature,11,,,,,12,Xreal,,
45,20,100,brightness,indoor,control,,,,,,9,hololens,,
45,30,100,brightness,indoor,control,,,,,2,,hololens,,
45,40,100,brightness,indoor,control,,,,1,7,,hololens,,
45,50,100,brightness,indoor,control,,,1,3,,,hololens,,
45,60,100,brightness,indoor,control,,,3,6,,,hololens,,
45,70,100,brightness,indoor,control,2,,1,,,,hololens,,
45,80,100,brightness,indoor,control,3,,2,,,,hololens,,
45,90,100,brightness,indoor,control,2,3,,,,,hololens,,
45,100,100,brightness,indoor,control,3,7,,,1,1,hololens,,
45,100,20,saturation,indoor,control,,,,,30,25,hololens,,
45,100,30,saturation,indoor,control,,,,,,,hololens,,
45,100,40,saturation,indoor,control,,,,,,,hololens,,
45,100,50,saturation,indoor,control,,,,,,,hololens,,
45,100,60,saturation,indoor,control,,,,,,,hololens,,
45,100,70,saturation,indoor,control,,,2,,,,hololens,,
45,100,80,saturation,indoor,control,,,2,30,,,hololens,,
45,100,90,saturation,indoor,control,,30,26,,,,hololens,,
45,100,100,saturation,indoor,control,30,,,,,5,hololens,,
45,20,100,brightness,indoor,nature,,,,,9,15,hololens,,
45,30,100,brightness,indoor,nature,,,,,6,3,hololens,,
45,40,100,brightness,indoor,nature,,,,,15,,hololens,,
45,50,100,brightness,indoor,nature,6,,,,,,hololens,,
45,60,100,brightness,indoor,nature,,,,3,,,hololens,,
45,70,100,brightness,indoor,nature,,,6,3,,,hololens,,
45,80,100,brightness,indoor,nature,2,3,9,23,,,hololens,,
45,90,100,brightness,indoor,nature,17,21,15,,,,hololens,,
45,100,100,brightness,indoor,nature,6,6,,,,12,hololens,,
45,100,20,saturation,indoor,nature,,,,,30,18,hololens,,
45,100,30,saturation,indoor,nature,,,,,,,hololens,,
45,100,40,saturation,indoor,nature,,,,,,,hololens,,
45,100,50,saturation,indoor,nature,,,,,,,hololens,,
45,100,60,saturation,indoor,nature,,,,,,,hololens,,
45,100,70,saturation,indoor,nature,,,,6,,,hololens,,
45,100,80,saturation,indoor,nature,,,6,22,,,hololens,,
45,100,90,saturation,indoor,nature,,30,24,2,,,hololens,,
45,100,100,saturation,indoor,nature,30,,,,,12,hololens,,
45,20,100,brightness,outdoor,control,,,,,3,18,hololens,,
45,30,100,brightness,outdoor,control,,,,,3,,hololens,, 
45,40,100,brightness,outdoor,control,,,,,12,,hololens,,
45,50,100,brightness,outdoor,control,,,,,3,,hololens,,
45,60,100,brightness,outdoor,control,,,,12,9,,hololens,,
45,70,100,brightness,outdoor,control,,,8,12,,,hololens,,
45,80,100,brightness,outdoor,control,,3,15,6,,,hololens,,
45,90,100,brightness,outdoor,control,12,21,8,,,,hololens,,
45,100,100,brightness,outdoor,control,18,6,,,,12,hololens,,
45,100,20,saturation,outdoor,control,,,,,30,21,hololens,,
45,100,30,saturation,outdoor,control,,,,,,,hololens,,
45,100,40,saturation,outdoor,control,,,,,,,hololens,,
45,100,50,saturation,outdoor,control,,,,,,,hololens,, 
45,100,60,saturation,outdoor,control,,,,,,,hololens,,
45,100,70,saturation,outdoor,control,,,,,,,hololens,,
45,100,80,saturation,outdoor,control,,,6,12,,,hololens,,
45,100,90,saturation,outdoor,control,9,30,15,12,,,hololens,,
45,100,100,saturation,outdoor,control,21,,9,6,,9,hololens,,
45,20,100,brightness,outdoor,nature,,,,,3,24,hololens,,
45,30,100,brightness,outdoor,nature,,,,,6,3,hololens,,
45,40,100,brightness,outdoor,nature,,,,,15,,hololens,,
45,50,100,brightness,outdoor,nature,,,,5,,,hololens,,
45,60,100,brightness,outdoor,nature,,,,16,,,hololens,,
2,70,100,brightness,outdoor,nature,6,,6,5,,,hololens,,
45,80,100,brightness,outdoor,nature,6,,15,,,,hololens,,
45,90,100,brightness,outdoor,nature,6,12,9,3,,,hololens,,
45,100,100,brightness,outdoor,nature,12,18,,,2,3,hololens,,
45,100,20,saturation,outdoor,nature,,,,,30,21,hololens,,
45,100,30,saturation,outdoor,nature,,,,,,,hololens,,
45,100,40,saturation,outdoor,nature,,,,,,,hololens,,
45,100,50,saturation,outdoor,nature,,,,,,,hololens,,
45,100,60,saturation,outdoor,nature,,,,,,,hololens,,
45,100,70,saturation,outdoor,nature,,,,3,,,hololens,,
45,100,80,saturation,outdoor,nature,,9,9,24,,,hololens,,
45,100,90,saturation,outdoor,nature,12,18,21,,,,hololens,,
45,100,100,saturation,outdoor,nature,18,3,,3,,9,hololens,,
