hue,saturation,brightness,fixation,room,background,clearest,second clear,most comfortable,second comfortable,least clear,least comfortable,device,
270,100,70,saturation,outdoor,control,,,2,9,,,Xreal,
270,100,80,saturation,outdoor,control,2,12,14,16,,,Xreal,
270,100,90,saturation,outdoor,control,12,16,12,5,,,Xreal,
270,100,100,saturation,outdoor,control,16,2,2,,,14,Xreal,
270,20,100,brightness,outdoor,nature,,,,,12,21,Xreal,
270,30,100,brightness,outdoor,nature,,,,,,,Xreal,
270,40,100,brightness,outdoor,nature,3,,,9,,,Xreal,
270,50,100,brightness,outdoor,nature,5,,9,14,,,Xreal,
270,60,100,brightness,outdoor,nature,,2,14,5,,,Xreal,
270,70,100,brightness,outdoor,nature,3,5,5,,,,Xreal,
270,80,100,brightness,outdoor,nature,7,9,2,2,,,Xreal,
270,90,100,brightness,outdoor,nature,12,12,,,,,Xreal,
270,100,100,brightness,outdoor,nature,,2,,,18,9,Xreal,
270,100,20,saturation,outdoor,nature,,,,,30,16,Xreal,
270,100,30,saturation,outdoor,nature,,,,,,,Xreal,
270,100,40,saturation,outdoor,nature,,,,,,,Xreal,
270,100,50,saturation,outdoor,nature,,,,,,,Xreal,
270,100,60,saturation,outdoor,nature,,,,,,,Xreal,
270,100,70,saturation,outdoor,nature,,,2,9,,,Xreal,
270,100,80,saturation,outdoor,nature,,11,14,14,,,Xreal,
270,100,90,saturation,outdoor,nature,14,14,14,7,,,Xreal,
270,100,100,saturation,outdoor,nature,16,5,,,,14,hololens,
270,20,100,brightness,indoor,control,,,,,,15,hololens,
270,30,100,brightness,indoor,control,,,,,,,hololens,
270,40,100,brightness,indoor,control,,,,,,,hololens,
270,50,100,brightness,indoor,control,,15,15,,15,,hololens,
270,60,100,brightness,indoor,control,15,,,23,,,hololens,
270,70,100,brightness,indoor,control,,8,8,7,,,hololens,
270,80,100,brightness,indoor,control,15,7,7,,,,hololens,
270,90,100,brightness,indoor,control,,,,,,,hololens,
270,100,100,brightness,indoor,control,,,,,15,15,hololens,
270,100,20,saturation,indoor,control,,,,,30,15,hololens,
270,100,30,saturation,indoor,control,,,,,,,hololens,
270,100,40,saturation,indoor,control,,,,,,,hololens,
270,100,50,saturation,indoor,control,,,,,,,hololens,
270,100,60,saturation,indoor,control,,,,,,,hololens,
270,100,70,saturation,indoor,control,,,8,,,,hololens,
270,100,80,saturation,indoor,control,,,,30,,,hololens,
270,100,90,saturation,indoor,control,,30,22,,,,hololens,
270,100,100,saturation,indoor,control,30,,,,,15,hololens,
270,20,100,brightness,indoor,nature,,,,,,15,hololens,
270,30,100,brightness,indoor,nature,,,,,,,hololens,
270,40,100,brightness,indoor,nature,,,,,8,,hololens,
270,50,100,brightness,indoor,nature,,,,,22,,hololens,
270,60,100,brightness,indoor,nature,8,,15,,,,hololens,
270,70,100,brightness,indoor,nature,15,8,,15,,,hololens,
270,80,100,brightness,indoor,nature,,22,15,,,,hololens,
270,90,100,brightness,indoor,nature,7,,,15,,,hololens,
270,100,100,brightness,indoor,nature,,,,,,15,hololens,
270,100,20,saturation,indoor,nature,,,,,30,8,hololens,
270,100,30,saturation,indoor,nature,,,,,,,hololens,
270,100,40,saturation,indoor,nature,,,,,,,hololens,
270,100,50,saturation,indoor,nature,,,,,,,hololens,
270,100,60,saturation,indoor,nature,,,,,,,hololens,
270,100,70,saturation,indoor,nature,,,,8,,,hololens,
270,100,80,saturation,indoor,nature,,,15,15,,,hololens,
270,100,90,saturation,indoor,nature,,30,15,7,,,hololens,
270,100,100,saturation,indoor,nature,30,,,,,22,hololens,
270,20,100,brightness,outdoor,control,,,,,,8,hololens,
270,30,100,brightness,outdoor,control,,,,,,,hololens,
270,40,100,brightness,outdoor,control,,,8,,,,hololens,
270,50,100,brightness,outdoor,control,8,,15,15,,,hololens,
270,60,100,brightness,outdoor,control,,15,7,15,,,hololens,
270,70,100,brightness,outdoor,control,15,8,,,,,hololens,
270,80,100,brightness,outdoor,control,7,7,,,,,hololens,
270,90,100,brightness,outdoor,control,,,,,,,hololens,
270,100,100,brightness,outdoor,control,,,,,30,22,hololens,
270,100,20,saturation,outdoor,control,,,,,30,23,hololens,
270,100,30,saturation,outdoor,control,,,,,,,hololens,
270,100,40,saturation,outdoor,control,,,,,,,hololens,
270,100,50,saturation,outdoor,control,,,,,,,hololens,
270,100,60,saturation,outdoor,control,,,,,,,hololens,
270,100,70,saturation,outdoor,control,,,,,,,hololens, 
270,100,80,saturation,outdoor,control,,,,15,,,hololens,
270,100,90,saturation,outdoor,control,,30,23,8,,,hololens,
270,100,100,saturation,outdoor,control,30,,7,7,,7,hololens,
270,20,100,brightness,outdoor,nature,,,,,,8,hololens,
270,30,100,brightness,outdoor,nature,,,,8,,,hololens,
270,40,100,brightness,outdoor,nature,8,,15,8,,,hololens,
270,50,100,brightness,outdoor,nature,8,15,8,7,,,hololens,
270,60,100,brightness,outdoor,nature,7,8,,7,,,hololens,
270,70,100,brightness,outdoor,nature,7,,7,,,,hololens,
270,80,100,brightness,outdoor,nature,,7,,,,,hololens,
270,90,100,brightness,outdoor,nature,,,,,,,hololens,
270,100,100,brightness,outdoor,nature,,,,,30,22,hololens,
270,100,20,saturation,outdoor,nature,,,,,30,23,hololens,
270,100,30,saturation,outdoor,nature,,,,,,,hololens,
270,100,40,saturation,outdoor,nature,,,,,,,hololens,
270,100,50,saturation,outdoor,nature,,,,,,,hololens,
270,100,60,saturation,outdoor,nature,,,,,,,hololens,
270,100,70,saturation,outdoor,nature,,,,,,,hololens,
270,100,80,saturation,outdoor,nature,,,,15,,,hololens,
270,100,90,saturation,outdoor,nature,8,23,23,8,,,hololens,
270,100,100,saturation,outdoor,nature,22,7,7,7,,7,hololens,
